CardId,Level,Topic,Set,PromptEN,BeforeCY,AfterCY,GapAnswer,BasePrep,WhyEN,WhyCY,Distractors
P0001,1,Recipient (to a person),AT_vs_I,Send a letter to Sioned.,Danfon lythyr , Sioned.,at,at,"To a person/recipient is commonly expressed with “at” (not “i”).","At berson/derbynnydd, defnyddir “at” yn aml (nid “i”).",at|i|o|gyda
P0002,1,Destination (to a place),AT_vs_I,Send a letter to London.,Danfon lythyr , Lundain.,i,i,"Destination/place you go or send into → “i”.","Cyrchfan/lle (mynd/danfon i mewn iddo) → “i”.",at|i|o|gyda
P0003,1,Destination (to a place),AT_vs_I,I’m going to Cardiff.,Dw i’n mynd , Gaerdydd.,i,i,"Going to a place → “i” + soft mutation (Caerdydd → Gaerdydd).","Mynd i le → “i” + treiglad meddal (Caerdydd → Gaerdydd).",at|i|o|yn
P0004,1,Recipient (to a person),AT_vs_I,I’m going to the doctor.,Dw i’n mynd , y meddyg.,at,at,"Appointments/people as a target often take “at”.","At apwyntiad/person fel targed, mae “at” yn gyffredin.",at|i|o|wrth
P0005,1,Recipient (to a person),AT_vs_I,She’s speaking to the teacher.,Mae hi’n siarad , yr athro.,at,at,"Talking to a person often uses “at”.","Siarad â pherson yn aml → “at”.",at|i|â|gyda
P0006,1,Destination (to a place),AT_vs_I,We’re walking to the park.,Dyn ni’n cerdded , y parc.,i,i,"Destination/place → “i”.","Cyrchfan/lle → “i”.",at|i|o|ar
P0007,1,Origin (from a place),O_vs_I,I’m from Cardiff.,Dw i , Gaerdydd.,o,o,"Origin/source → “o” + soft mutation (Caerdydd → Gaerdydd).","Tarddiad/ffynhonnell → “o” + treiglad meddal (Caerdydd → Gaerdydd).",o|i|at|gan
P0008,1,Origin (from a place),O_vs_I,She’s from Bangor.,Mae hi , Fangor.,o,o,"“o” triggers soft mutation (Bangor → Fangor).","Mae “o” yn treiglo’n feddal (Bangor → Fangor).",o|i|at|gan
P0009,1,Origin (from a place),O_vs_I,We’re coming from Swansea.,Dyn ni’n dod , Abertawe.,o,o,"Origin/source → “o”. (Abertawe doesn’t change here.)","Tarddiad/ffynhonnell → “o”. (Does dim newid i Abertawe yma.)",o|i|at|gan
P0010,1,Origin (from a place),O_vs_I,I’m coming from Treorchy.,Dw i’n dod , Dreorci.,o,o,"“o” triggers soft mutation (Treorci → Dreorci).","Mae “o” yn treiglo’n feddal (Treorci → Dreorci).",o|i|at|gan
